TITLE	ISSN	EISSN	DOCUMENTATION	FIELD1	FIELD2	INDEPENDENT
Journal of Unmanned Vehicle Systems	x	2291-3467	http://www.nrcresearchpress.com/page/juvs/authors	engineering	x	canadian-journal-of-fisheries-and-aquatic-sciences
Genome	0831-2796	1480-3321	http://www.nrcresearchpress.com/page/gen/authors	botany	biology	canadian-journal-of-fisheries-and-aquatic-sciences
Canadian Journal of Forest Research	0045-5067	1208-6037	http://www.nrcresearchpress.com/page/cjfr/authors	botany	biology	canadian-journal-of-fisheries-and-aquatic-sciences
Environmental Reviews	1181-8700	1208-6053	http://www.nrcresearchpress.com/page/er/authors	science	x	canadian-journal-of-fisheries-and-aquatic-sciences
Botany	1916-2790	1916-2804	http://www.nrcresearchpress.com/page/cjb/authors	botany	biology	canadian-journal-of-fisheries-and-aquatic-sciences
Biochemistry and Cell Biology	0829-8211	1208-6002	http://www.nrcresearchpress.com/page/bcb/authors	medicine	biology	canadian-journal-of-fisheries-and-aquatic-sciences
Canadian Journal of Zoology	0008-4301	1480-3283	http://www.nrcresearchpress.com/page/cjz/authors	zoology	x	canadian-journal-of-fisheries-and-aquatic-sciences
Canadian Journal of Civil Engineering	0315-1468	1208-6029	http://www.nrcresearchpress.com/page/cjce/authors	engineering	x	canadian-geotechnical-journal
Canadian Journal of Animal Science	0008-3984	1918-1825	http://www.aic.ca/journals/pdf/Instructions/Operations_Manual_Revised_2012.pdf	zoology	x	canadian-journal-of-soil-science
Canadian Journal of Plant Science	0008-4220	1918-1833	http://www.aic.ca/journals/pdf/Instructions/Operations_Manual_Revised_2012.pdf	biology	botany	canadian-journal-of-soil-science
